time,elec
7:00:00,2508.416
8:00:00,2401.28
9:00:00,2276.096
10:00:00,2193.792
11:00:00,2190.848
12:00:00,2169.92
13:00:00,2172.8
14:00:00,2197.76
15:00:00,2239.04
16:00:00,2402.048
17:00:00,2573.696
18:00:00,2604.544
19:00:00,2581.376
20:00:00,2560.768
21:00:00,2566.08
22:00:00,2547.008
23:00:00,2837.888
2019-02-18 0:00,3066.624
1:00:00,3125.888
2:00:00,3118.784
3:00:00,3091.264
4:00:00,3136.896
5:00:00,3881.216
6:00:00,4307.52
7:00:00,4971.456
8:00:00,5070.848
9:00:00,4942.08
10:00:00,5086.464
11:00:00,4925.76
12:00:00,4931.2
13:00:00,5006.912
14:00:00,5064.064
15:00:00,4989.504
16:00:00,4963.52
17:00:00,4911.872
18:00:00,4858.112
19:00:00,4535.296
20:00:00,3600.64
21:00:00,3338.688
22:00:00,2948.928
23:00:00,2827.584
2019-02-19 0:00,2763.456
1:00:00,2811.648
2:00:00,2797.888
3:00:00,3077.12
4:00:00,3195.264
5:00:00,4289.664
6:00:00,4678.848
7:00:00,5325.952
8:00:00,5524.736
9:00:00,5600.512
10:00:00,5623.552
11:00:00,5620.864
12:00:00,5630.656
13:00:00,5671.552
14:00:00,5558.016
15:00:00,5369.664
16:00:00,4961.856
17:00:00,4847.232
18:00:00,4721.6
19:00:00,4424.96
20:00:00,3276.48
21:00:00,3068.224
22:00:00,2810.944
23:00:00,2840
2019-02-20 0:00,2755.328
1:00:00,2747.456
2:00:00,2735.424
3:00:00,2722.112
4:00:00,2808.576
5:00:00,0
6:00:00,4266.231
7:00:00,4877.257
8:00:00,5098.126
9:00:00,5088.689
10:00:00,5047.254
11:00:00,5083.09
12:00:00,5049.674
13:00:00,4938.78
14:00:00,4891.7
15:00:00,4827.448
16:00:00,4700.096
17:00:00,4756.192
18:00:00,4670.988
19:00:00,4409.036
20:00:00,3229.168
21:00:00,3055.224
22:00:00,2754.776
23:00:00,2676.832
2019-02-21 0:00,2643.528
1:00:00,2693.688
2:00:00,2685.168
3:00:00,2699.576
4:00:00,2875
5:00:00,3998.336
6:00:00,4294.88
7:00:00,4744.752
8:00:00,5103.176
9:00:00,5044.744
10:00:00,4895.24
11:00:00,4825.288
12:00:00,4705.904
13:00:00,4675.112
14:00:00,4571.456
15:00:00,4583.36
16:00:00,4654.416
17:00:00,4682.464
18:00:00,4622.768
19:00:00,4246.704
20:00:00,3184.576
21:00:00,2960.528
22:00:00,2659.824
23:00:00,2608.336
2019-02-22 0:00,2712.288
1:00:00,2762.848
2:00:00,2736.64
3:00:00,2667.648
4:00:00,2742.576
5:00:00,3935.584
